order_id,order_date,customer_id,region,category,product_name,quantity,unit_price,discount,revenue,returned
ORD-13406,2024-11-28,CUST-3898,South,Electronics,Laptop Stand,1,49.99,0.0,49.99,False
ORD-10757,2024-07-09,CUST-2356,East,Electronics,Webcam HD,1,79.99,0.05,75.99,False
ORD-13624,2024-04-26,CUST-4919,North,Electronics,Webcam HD,3,79.99,0.0,239.97,False
ORD-14544,2024-05-01,CUST-1906,South,Home & Garden,Scented Candles,1,19.99,0.05,18.99,True
ORD-13235,2024-03-21,CUST-4518,West,Clothing,Wool Sweater,2,79.99,0.15,135.98,False
ORD-11868,2024-02-18,CUST-4933,East,Electronics,Laptop Stand,4,49.99,0.15,169.97,False
ORD-12916,2024-10-07,CUST-1446,South,Clothing,Yoga Pants,1,44.99,0.05,42.74,False
ORD-13335,2024-10-02,CUST-1394,North,Electronics,USB-C Hub,1,39.99,0.0,39.99,False
ORD-13527,2024-10-07,CUST-4738,North,Clothing,Rain Coat,2,119.99,0.1,215.98,False
ORD-12827,2024-02-25,CUST-4903,North,Home & Garden,Coffee Maker,2,69.99,0.0,139.98,False
ORD-14392,2024-09-04,CUST-1439,West,Electronics,LED Monitor,3,299.99,0.05,854.97,False
ORD-13484,2024-08-22,CUST-4612,East,Home & Garden,Throw Blanket,2,49.99,0.0,99.98,True
ORD-12961,2024-05-16,CUST-3186,North,Clothing,Rain Coat,1,119.99,0.1,107.99,False
ORD-13215,2024-02-12,CUST-4503,North,Electronics,Bluetooth Speaker,4,59.99,0.1,215.96,False
ORD-14301,2024-12-21,CUST-1512,North,Home & Garden,Storage Organizer,1,29.99,0.0,29.99,True
ORD-10615,2024-12-27,CUST-2480,South,Clothing,Wool Sweater,2,79.99,0.0,159.98,False
ORD-10640,2024-01-09,CUST-4704,North,Electronics,Wireless Headphones,1,89.99,0.0,89.99,False
ORD-13708,2024-04-16,CUST-1131,West,Clothing,Winter Jacket,1,149.99,0.2,119.99,False
ORD-12366,2024-02-08,CUST-3014,South,Electronics,Laptop Stand,1,49.99,0.0,49.99,False
ORD-12755,2024-04-25,CUST-4973,East,Home & Garden,LED Desk Lamp,3,44.99,0.0,134.97,True
ORD-12318,2024-06-01,CUST-2498,South,Home & Garden,Storage Organizer,1,29.99,0.0,29.99,False
ORD-14171,2024-12-13,CUST-2867,West,Clothing,Winter Jacket,3,149.99,0.2,359.98,False
ORD-14760,2024-06-28,CUST-4276,North,Clothing,Casual Sneakers,2,89.99,0.0,179.98,False
ORD-12190,2024-04-07,CUST-3730,North,Electronics,USB-C Hub,1,39.99,0.05,37.99,False
ORD-14714,2024-07-11,CUST-3019,East,Clothing,Rain Coat,1,119.99,0.0,119.99,False
ORD-12867,2024-10-03,CUST-2979,North,Clothing,Running Shoes,1,109.99,0.0,109.99,False
ORD-13731,2024-12-12,CUST-2646,West,Clothing,Wool Sweater,1,79.99,0.2,63.99,False
ORD-10470,2024-01-05,CUST-3819,East,Electronics,Bluetooth Speaker,1,59.99,0.0,59.99,False
ORD-12530,2024-10-25,CUST-1948,East,Electronics,Webcam HD,2,79.99,0.05,151.98,False
ORD-12211,2024-11-19,CUST-1544,East,Electronics,LED Monitor,3,299.99,0.05,854.97,False
ORD-10625,2024-05-22,CUST-3601,North,Electronics,Mechanical Keyboard,1,129.99,0.05,123.49,False
ORD-14202,2024-02-14,CUST-3598,East,Electronics,Wireless Headphones,1,89.99,0.15,76.49,False
ORD-14819,2024-03-09,CUST-3783,North,Electronics,Smart Watch,1,199.99,0.1,179.99,True
ORD-11874,2024-10-18,CUST-3148,West,Home & Garden,Plant Pot Set,3,34.99,0.0,104.97,False
ORD-14574,2024-04-16,CUST-2442,South,Electronics,LED Monitor,1,299.99,0.0,299.99,False
ORD-12061,2024-07-03,CUST-4513,North,Home & Garden,Wall Clock,3,39.99,0.05,113.97,False
ORD-13691,2024-07-17,CUST-3183,East,Home & Garden,Plant Pot Set,5,34.99,0.0,174.95,False
ORD-12288,2024-06-20,CUST-1468,East,Home & Garden,Wall Clock,1,39.99,0.1,35.99,False
ORD-14126,2024-10-19,CUST-2375,West,Home & Garden,Throw Blanket,3,49.99,0.05,142.47,True
ORD-10370,2024-02-09,CUST-1750,North,Home & Garden,Scented Candles,1,19.99,0.0,19.99,False
ORD-14398,2024-03-06,CUST-3212,West,Home & Garden,Storage Organizer,4,29.99,0.0,119.96,False
ORD-13244,2024-10-06,CUST-3464,South,Home & Garden,LED Desk Lamp,2,44.99,0.0,89.98,False
ORD-11218,2024-09-19,CUST-3692,North,Electronics,USB-C Hub,3,39.99,0.05,113.97,False
ORD-13503,2024-01-15,CUST-4236,East,Clothing,Rain Coat,1,119.99,0.05,113.99,False
ORD-13557,2024-06-17,CUST-4241,South,Clothing,Cotton T-Shirt,2,24.99,0.15,42.48,False
ORD-10274,2024-07-03,CUST-2519,North,Electronics,Wireless Headphones,4,89.99,0.1,323.96,False
ORD-14550,2024-12-27,CUST-1349,South,Home & Garden,Storage Organizer,2,29.99,0.05,56.98,False
ORD-13070,2024-10-24,CUST-4898,East,Home & Garden,Coffee Maker,1,69.99,0.0,69.99,False
ORD-10195,2024-05-26,CUST-1205,East,Electronics,Wireless Headphones,3,89.99,0.0,269.97,False
ORD-13778,2024-09-01,CUST-1384,South,Electronics,Webcam HD,5,79.99,0.0,399.95,False
ORD-12261,2024-08-15,CUST-2518,East,Home & Garden,Throw Blanket,3,49.99,0.0,149.97,True
ORD-14337,2024-12-19,CUST-2838,South,Electronics,Wireless Headphones,3,89.99,0.05,256.47,False
ORD-11440,2024-12-22,CUST-4207,South,Electronics,Webcam HD,1,79.99,0.05,75.99,False
ORD-11125,2024-07-06,CUST-4773,South,Clothing,Cotton T-Shirt,1,24.99,0.15,21.24,False
ORD-10676,2024-02-13,CUST-4414,East,Electronics,LED Monitor,2,299.99,0.0,599.98,False
ORD-12605,2024-07-05,CUST-1008,North,Home & Garden,Wall Clock,1,39.99,0.0,39.99,False
ORD-13018,2024-01-04,CUST-3881,South,Electronics,LED Monitor,2,299.99,0.0,599.98,False
ORD-13032,2024-10-06,CUST-2601,East,Electronics,Wireless Headphones,4,89.99,0.15,305.97,False
ORD-10161,2024-09-11,CUST-4831,East,Home & Garden,Storage Organizer,5,29.99,0.05,142.45,False
ORD-12063,2024-06-21,CUST-1178,South,Clothing,Wool Sweater,4,79.99,0.15,271.97,False
ORD-13690,2024-11-07,CUST-1980,North,Clothing,Cotton T-Shirt,1,24.99,0.15,21.24,False
ORD-11841,2024-06-28,CUST-4668,South,Home & Garden,Throw Blanket,1,49.99,0.1,44.99,False
ORD-14558,2024-12-08,CUST-2351,West,Clothing,Wool Sweater,1,79.99,0.05,75.99,False
ORD-10078,2024-05-08,CUST-2922,North,Home & Garden,LED Desk Lamp,1,44.99,0.05,42.74,True
ORD-11536,2024-03-10,CUST-4706,North,Clothing,Rain Coat,2,119.99,0.1,215.98,False
ORD-12764,2024-02-21,CUST-4409,South,Electronics,Mechanical Keyboard,1,129.99,0.0,129.99,False
ORD-12921,2024-10-09,CUST-1797,South,Electronics,Wireless Headphones,2,89.99,0.05,170.98,False
ORD-12172,2024-03-25,CUST-1078,North,Home & Garden,Air Purifier,1,159.99,0.05,151.99,False
ORD-14433,2024-12-24,CUST-3986,South,Electronics,Webcam HD,1,79.99,0.0,79.99,False
ORD-10567,2024-06-06,CUST-2341,East,Home & Garden,Throw Blanket,2,49.99,0.1,89.98,False
ORD-11947,2024-02-24,CUST-1286,South,Clothing,Casual Sneakers,1,89.99,0.2,71.99,False
ORD-13383,2024-04-15,CUST-3340,North,Clothing,Denim Jeans,3,59.99,0.1,161.97,False
ORD-11252,2024-02-01,CUST-4048,East,Electronics,Laptop Stand,1,49.99,0.05,47.49,False
ORD-11982,2024-06-17,CUST-4949,West,Clothing,Wool Sweater,3,79.99,0.25,179.98,False
ORD-10402,2024-07-14,CUST-2236,East,Electronics,Laptop Stand,2,49.99,0.0,99.98,False
ORD-13893,2024-06-27,CUST-4062,East,Electronics,Bluetooth Speaker,1,59.99,0.0,59.99,False
ORD-14434,2024-01-18,CUST-1759,East,Clothing,Running Shoes,1,109.99,0.05,104.49,False
ORD-12316,2024-04-12,CUST-1789,South,Electronics,Laptop Stand,3,49.99,0.0,149.97,False
ORD-10687,2024-04-14,CUST-3215,South,Home & Garden,Plant Pot Set,3,34.99,0.0,104.97,False
ORD-10459,2024-02-04,CUST-1296,South,Electronics,Webcam HD,2,79.99,0.05,151.98,False
ORD-10145,2024-01-24,CUST-4308,North,Clothing,Denim Jeans,1,59.99,0.15,50.99,False
ORD-14758,2024-06-14,CUST-1627,West,Clothing,Rain Coat,1,119.99,0.0,119.99,False
ORD-12754,2024-12-22,CUST-4279,North,Electronics,Smart Watch,2,199.99,0.05,379.98,False
ORD-14138,2024-09-04,CUST-1366,West,Home & Garden,LED Desk Lamp,5,44.99,0.0,224.95,False
ORD-14311,2024-12-11,CUST-1350,South,Clothing,Yoga Pants,2,44.99,0.2,71.98,False
ORD-11569,2024-06-18,CUST-4237,West,Home & Garden,Scented Candles,1,19.99,0.05,18.99,True
ORD-11227,2024-04-15,CUST-3939,East,Electronics,Laptop Stand,2,49.99,0.1,89.98,False
ORD-13788,2024-02-06,CUST-3408,South,Home & Garden,LED Desk Lamp,2,44.99,0.05,85.48,True
ORD-12688,2024-06-13,CUST-4557,South,Clothing,Casual Sneakers,3,89.99,0.25,202.48,True
ORD-12036,2024-02-11,CUST-2133,East,Electronics,Bluetooth Speaker,1,59.99,0.05,56.99,False
ORD-11858,2024-11-11,CUST-4868,East,Electronics,LED Monitor,2,299.99,0.05,569.98,False
ORD-13490,2024-02-09,CUST-2820,North,Home & Garden,Wall Clock,1,39.99,0.05,37.99,True
ORD-13735,2024-06-26,CUST-2503,South,Electronics,Smart Watch,1,199.99,0.1,179.99,False
ORD-10004,2024-03-19,CUST-2397,South,Electronics,Smart Watch,3,199.99,0.0,599.97,False
ORD-14133,2024-09-16,CUST-1459,South,Electronics,Laptop Stand,3,49.99,0.0,149.97,False
ORD-11272,2024-11-04,CUST-1298,West,Clothing,Wool Sweater,2,79.99,0.0,159.98,False
ORD-14635,2024-12-25,CUST-4415,South,Clothing,Wool Sweater,2,79.99,0.15,135.98,False
ORD-11343,2024-10-07,CUST-1165,West,Electronics,Bluetooth Speaker,1,59.99,0.0,59.99,False
ORD-13986,2024-02-27,CUST-1976,East,Clothing,Rain Coat,1,119.99,0.1,107.99,False
ORD-10735,2024-12-01,CUST-2129,West,Home & Garden,Storage Organizer,5,29.99,0.0,149.95,False
ORD-11193,2024-09-13,CUST-3954,South,Electronics,Webcam HD,4,79.99,0.05,303.96,False
ORD-13439,2024-12-08,CUST-4188,East,Electronics,Smart Watch,1,199.99,0.0,199.99,False
ORD-13449,2024-01-17,CUST-4435,South,Clothing,Denim Jeans,1,59.99,0.1,53.99,False
ORD-10213,2024-03-16,CUST-4729,West,Clothing,Wool Sweater,2,79.99,0.05,151.98,False
ORD-11637,2024-03-25,CUST-1869,North,Electronics,Mechanical Keyboard,1,129.99,0.05,123.49,False
ORD-11661,2024-07-16,CUST-1027,North,Electronics,Bluetooth Speaker,2,59.99,0.0,119.98,True
ORD-14146,2024-02-26,CUST-1601,South,Clothing,Denim Jeans,4,59.99,0.05,227.96,False
ORD-14348,2024-11-01,CUST-3342,East,Home & Garden,Scented Candles,1,19.99,0.05,18.99,False
ORD-14662,2024-06-12,CUST-3472,South,Clothing,Casual Sneakers,1,89.99,0.15,76.49,False
ORD-10766,2024-11-18,CUST-4481,North,Clothing,Cotton T-Shirt,3,24.99,0.1,67.47,False
ORD-13939,2024-06-24,CUST-3741,East,Clothing,Running Shoes,3,109.99,0.0,329.97,False
ORD-12451,2024-12-06,CUST-1355,North,Electronics,Smart Watch,2,199.99,0.0,399.98,False
ORD-14883,2024-03-04,CUST-2759,North,Clothing,Winter Jacket,4,149.99,0.1,539.96,True
ORD-11382,2024-12-11,CUST-1818,South,Home & Garden,Air Purifier,4,159.99,0.05,607.96,False
ORD-13769,2024-02-03,CUST-1318,East,Clothing,Wool Sweater,1,79.99,0.2,63.99,False
ORD-12610,2024-11-12,CUST-4760,South,Home & Garden,Throw Blanket,4,49.99,0.0,199.96,False
ORD-14310,2024-04-24,CUST-2992,East,Clothing,Running Shoes,5,109.99,0.15,467.46,True
ORD-13874,2024-01-19,CUST-2809,South,Home & Garden,Throw Blanket,1,49.99,0.0,49.99,False
ORD-10876,2024-10-22,CUST-1808,North,Home & Garden,LED Desk Lamp,1,44.99,0.05,42.74,False
